Datetime,open,high,low,close,Adj Close,Volume,candlestick_pattern,candlestick_match_count,signal
2021-08-10 09:40:00+08:00,26320.669921875,26351.109375,26292.880859375,26307.80078125,26307.80078125,0,CDLSPINNINGTOP_Bear,1.0,Sell
2021-08-10 09:45:00+08:00,26308.919921875,26309.55078125,26206.869140625,26262.900390625,26262.900390625,0,CDLBELTHOLD_Bear,1.0,Sell
2021-08-10 09:50:00+08:00,26264.359375,26284.94921875,26208.669921875,26237.990234375,26237.990234375,0,NO_PATTERN,0.0,None
2021-08-10 09:55:00+08:00,26238.98046875,26238.98046875,26159.529296875,26159.529296875,26159.529296875,0,CDLCLOSINGMARUBOZU_Bear,4.0,Sell
2021-08-10 10:00:00+08:00,26155.76953125,26192.25,26138.869140625,26192.25,26192.25,0,CDLTHRUSTING_Bear,2.0,Sell
2021-08-10 10:05:00+08:00,26194.439453125,26228.349609375,26175.650390625,26184.880859375,26184.880859375,0,NO_PATTERN,0.0,None
2021-08-10 10:10:00+08:00,26184.509765625,26195.98046875,26167.900390625,26181.2109375,26181.2109375,0,CDLMATCHINGLOW_Bull,6.0,Buy
2021-08-10 10:15:00+08:00,26183.890625,26235.689453125,26176.490234375,26234.759765625,26234.759765625,0,CDLCLOSINGMARUBOZU_Bull,1.0,Buy
2021-08-10 10:20:00+08:00,26235.3203125,26283.44921875,26235.0390625,26275.150390625,26275.150390625,0,CDLBELTHOLD_Bull,1.0,Buy
2021-08-10 10:25:00+08:00,26278.650390625,26331.720703125,26275.099609375,26329.69921875,26329.69921875,0,CDLBELTHOLD_Bull,3.0,Buy
2021-08-10 10:30:00+08:00,26329.029296875,26329.5703125,26272.720703125,26280.94921875,26280.94921875,0,CDLBELTHOLD_Bear,1.0,Sell
2021-08-10 10:35:00+08:00,26280.23046875,26302.5390625,26259.4296875,26302.5390625,26302.5390625,0,NO_PATTERN,0.0,None
2021-08-10 10:40:00+08:00,26306.76953125,26339.779296875,26306.76953125,26330.94921875,26330.94921875,0,NO_PATTERN,0.0,None
